righthipyaw,righthiproll,righthippitch,rightknee,rightankleroll,rightanklepitch,time
0,0.0349066,0.715585,-0.872665,0,0.436332,0.000
0,0.0349066,0.715585,-0.872665,0,0.436332,1.000
0,0.0349066,0.715585,-0.872665,0,0.436332,2.000
0,0.0349066,0.715585,-0.872665,0,0.436332,3.000
0,0.0349066,0.715585,-0.872665,0,0.436332,4.000
0,0.495015,-0.033352,-0.067389,0.864926,0.034036,5.000
0,0.495029,-0.044672,-0.090879,0.864961,0.046206,5.025
0,0.495041,-0.05184,-0.107092,0.864991,0.055251,5.050
0,0.495051,-0.056638,-0.119447,0.865018,0.062808,5.075
0,0.49506,-0.059903,-0.129465,0.865041,0.069562,5.100
0,0.495069,-0.062176,-0.138082,0.865064,0.075905,5.125
0,0.495078,-0.063874,-0.145988,0.865086,0.082113,5.150
0,0.495087,-0.065353,-0.153759,0.865109,0.088405,5.175
0,0.495097,-0.066926,-0.161899,0.865136,0.094972,5.200
0,0.495109,-0.068876,-0.170858,0.865166,0.101981,5.225
0,0.495123,-0.07145,-0.181026,0.865203,0.109575,5.250
0,0.49514,-0.07486,-0.192729,0.865247,0.117868,5.275
0,0.495162,-0.079277,-0.206221,0.865301,0.126944,5.300
0,0.495187,-0.084829,-0.221684,0.865367,0.136854,5.325
0,0.495218,-0.091608,-0.23923,0.865447,0.147621,5.350
0,0.495256,-0.099673,-0.258915,0.865544,0.159242,5.375
0,0.495301,-0.109052,-0.280751,0.865659,0.171698,5.400
0,0.495354,-0.119759,-0.304715,0.865795,0.184956,5.425
0,0.495416,-0.131787,-0.330768,0.865955,0.19898,5.450
0,0.495489,-0.145122,-0.358854,0.866143,0.213731,5.475
0,0.495574,-0.133619,-0.380124,0.86636,0.246504,5.495
0,0.495574,0.133619,0.380124,0.86636,0.246504,5.510
0,0.495461,0.127262,0.34425,0.866071,0.216987,5.520
0,0.495373,0.129273,0.314648,0.865845,0.185375,5.530
0,0.495307,0.137504,0.289267,0.865676,0.151763,5.540
0,0.495262,0.149499,0.265426,0.86556,0.115926,5.550
0,0.495236,0.162763,0.240359,0.865494,0.077595,5.560
0,0.495228,0.174969,0.21165,0.865473,0.03668,5.570
0,0.495237,0.184082,0.17746,0.865495,0.006621,5.580
0,0.49526,0.188407,0.136616,0.865555,0.05179,5.590
0,0.495298,0.995421,-0.015437,0.865712,0.097954,5.600
0,0.0349066,0.715585,-0.872665,0,0.436332,5.760
0,0.0349066,0.715585,-0.872665,0,0.436332,5.800
